AccountNR;ProfielNaam;AfleveringID;ProcentGezien;ContentID
1215426;Frank;1001;100;1
1215426;Frank;1002;100;1
1215426;Frank;1003;78;1
1215426;Madelief;1001;100;1
1215426;Madelief;1002;60;1
1215426;Madelief;3001;91;6
1215426;Madelief;2001;100;4
1215426;Madelief;2002;100;4
1215426;Madelief;2003;100;4
1215426;Madelief;2004;22;4
5602533;Petrus;3001;100;6
5602533;Petrus;3002;100;6
5602533;Petrus;3010;60;6
5602533;Petrus;8001;100;4
5602533;Petrus;8002;99;4
5602533;Paulus;3001;100;4
5602533;Paulus;3002;74;5
5602533;Paulus;3010;60;5
5602533;Paulus;8001;100;5
5602533;Paulus;2019;10;5
5285824;Fritz;1001;100;5
5285824;Fritz;1002;100;5
5285824;Fritz;1010;5;5
5285824;Diana;8002;100;5
5285824;Diana;1001;45;5
