ID;Aflevering;Titel;Tijdsduur;ContentID
1001;1;A Study in Pink;1:28;1
1002;2;The Blind Banker;1:28;1
1003;3;The Great Game;1:28;1
1004;1;A Scandal in Belgravia;1:28;2
1005;2;The Hounds of Baskerville;1:28;2
1006;3;The Reichenbach Fall;1:28;2
1007;1;The Empty Hearse;1:28;3
1008;2;The Sign of Three;1:28;3
1009;3;His Last Vow;1:28;3
2000;1;Pilot;0:58;4
2001;2;Cat’s in the Bag…;0:48;4
2002;3;…And the Bag’s in the River;0:48;4
2003;4;Cancer Man;0:48;4
2004;5;Gray Matter;0:48;4
2005;6;Crazy Handful of Nothin’;0:48;4
2006;7;A No-Rough-Stuff-Type Deal;0:48;4
2007;1;Seven Thirty-Seven;0:48;5
2008;2;Grilled;0:48;5
2009;3;Bit by a Dead Bee;0:48;5
2010;4;Down;0:48;5
2011;5;Breakage;0:48;5
2012;6;Peekaboo;0:48;5
2013;7;Negro Y Azul;0:48;5
2014;8;Better Call Saul;0:48;5
2015;9;4 Days Out;0:48;5
2016;10;Over;0:48;5
2017;11;Mandala;0:48;5
2018;12;Phoenix;0:48;5
2019;13;ABQ;0:48;5
3001;1;The Crocodile's Dilemma;1:08;6
3002;2;The Rooster Prince;1:08;6
3003;3;A Muddy Road;1:08;6
3004;4;Eating the Blame;1:08;6
3005;5;The Six Ungraspables;1:08;6
3006;6;Buridan's Ass;1:08;6
3007;7;Who Shaves the Barber?;1:08;6
3008;8;The Heap;1:08;6
3009;9;A Fox, a Rabbit, and a Cabbage;1:08;6
3010;10;Morton's Fork;1:08;6
3101;1;Waiting for Dutch;1:08;7
3102;2;Before the Law;1:08;7
3103;3;The Myth of Sisyphus;1:08;7
3105;4;The Gift of the Magi;1:08;7
3104;5;Fear and Trembling;1:08;7
3106;6;Rhinoceros;1:08;7
3107;7;Did you do this? No, you did it!;1:08;7
3108;8;Loplop;1:08;7
3109;9;The Castle;1:08;7
3110;10;Palindrome;1:08;7
